image_name,date,street,block,parcel,text_en,text_es,ad_product,ad_company,business_name,establishment_kind,open_space_kind,street_art,notes,notes2
street_views_000001,2018-04-01,"South Central Avenue, West",1900,3926,"business start your engines with customized professional services by cbb Bank, Bonita Fabrics Inc., furniture and decorative arts district, on air we go there tidal podcasts in real life with Angie Martinez and Miss info",,cbb Bank,, Bonita Fabrics Inc.,Fabric Store,,,Closed,
street_views_000002,2011-04-01,"South Central Avenue, East",1900,3924,"Gavilan, no smoking, no solicitors, no shoes, no shirt, no service, drive-thru",,,,Gavilan,Fast Food,parking lot,,,
street_views_000003,2018-04-01,"South Central Avenue, West",1900,3921,"eloisas botiquee, esmeralda and roberts beauty cut flowers and gifts, delivery, tires, auto body work, used car for sale, no warranty on used tires, west lake, washington auto service, auto repair, new and used tires, muffler, RKM and Ken Y","cortes, tintes, raitos,trabajos de carboceria",,,"Washington Auto Service, Eloisas Boutiquee, Esmeralda and Roberts Beauty Cut Flowers and Gifts","Florist, Automotive Services, Clothing Store",,,,
street_views_000004,2017-11-01,"South Central Avenue, West",1900,3924,"drive thru, unauthorized vehicles parked in designated accesible spaces not displaying distinguishing placards or special license plates issues for person with disabilities will be towed away at the owners expense, towing solutions",,,,Gavilan,Fast Food,parking lot,,,
street_views_000005,2018-04-01,"South Central Avenue, East",2000,4250,www.DancingQueenDress.com ,,,,Danacing Queen Dress,Clothing Store,,,,
street_views_000006,2018-04-01,"South Central Avenue, West",2000,3920,,,,,,School,Playground,,,
street_views_000007,2018-04-01,"South Central Avenue, West",2000,4360,"Central Vision Care, Optometry, Eye Exams, Adults and Kids,  Medical Accepted, Chinese Fast Food Open, China Chef's Express Chinese Food, Contact Lenses","Optometria, Examenes De Ojos, Niños y Adultos, Aceptamos Medical,",,,,"Fast Food, Eye Doctor",,,,
street_views_000008,2018-04-01,"South Central Avenue, West",2000,4251,"Mexican Food,Burriots, Tacos","Taquerja Los Compadres, Quezadillas, Tortas, Rice Menudo, Hoy, Desayunos, Cabeza, Pastor, Pollo, Chorizo, Buche, Huevos ",,,Taquerja Los Compadres Mexican Food,Fast Food ,,,,
street_views_000009,2018-04-01,"South Central Avenue, East",2000,4360,"Superior Grocers, Auto Insurance, Auto Registration, Income Tax","Seguro de Auto, Registracion de Auto",,,"Superior Grocers, Auto Insurace/Auto Registration,Income Tax ","Grocery, Financial Services",Parking Lot,,,
street_views_000010,2018-04-01,"South Central Avenue, West",2100,3404,"Coin Laundry, Haircuts, Tony's Restaurant, Burger, Mex-American Food, Alondras Beauty Salon and Haircuts, Harmonious Healing, Dr. Solomon, Suffering of Depression, Anxiety, PTSD, Stress, ADHD, Shalom, Alternative Meditation, Free Delivery","Cortes para toda la Familia, Variendades Norma, Lavanderia, Peinados, Bases, Tintes, Raritos",,,"Alondra's Beauty Salon, Coin Laundry, Dr. Solomon Alternative Medication, Tony's Restaurant","Beauty Salon and Barber Shop, Laundromat, Restaurant, Alternative Medicine",,,,
